id,tenantId,inventoryItemId,url,width,height,contentType,bytes,exifRemoved,capturedAt,createdAt,publicUrl,signedUrl,position,alt,caption,variant_id
pid-tenant-1774885228681-sid-nn17110i-67mauq,tenant-1774885228681,sid-nn17110i,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-5b9jyhj2/original-1766530780553.jpg,1024,1024,image/png,153362,f,,2026-03-30 16:26:13.604+00,,,0,Product image,AI-generated product image,
pid-tenant-1774885228681-sid-fyo8vqjx-zae7es,tenant-1774885228681,sid-fyo8vqjx,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-5s8vjvxl/original-1766436700970.jpg,1024,1024,image/png,66447,f,,2026-03-30 16:26:15.676+00,,,0,Product image,AI-generated product image,
pid-tenant-1774885228681-sid-79u7xp88-amtf9r,tenant-1774885228681,sid-79u7xp88,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-oa5elf7k/original-1765116104166.jpg,,,,,f,,2026-03-30 16:26:18.056+00,,,0,,,
pid-tenant-1774885228681-sid-f68rmwej-4bub4i,tenant-1774885228681,sid-f68rmwej,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-q1emw6pv/original-1766112521799.jpg,,,,,f,,2026-03-30 16:26:20.433+00,,,0,,,
pid-tenant-1774885228681-sid-hp9zlj37-wnusy3,tenant-1774885228681,sid-hp9zlj37,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-0cuc4z27/original-1766112602043.jpg,,,,,f,,2026-03-30 16:26:22.813+00,,,0,,,
pid-tenant-1774885228681-sid-wyiogei3-lcki17,tenant-1774885228681,sid-wyiogei3,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-8m0wacgy/original-1766530814735.jpg,1024,1024,image/png,138116,f,,2026-03-30 16:26:25.192+00,,,0,Product image,AI-generated product image,
pid-tenant-1774885228681-sid-fkm8kz7o-r5ibyu,tenant-1774885228681,sid-fkm8kz7o,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-8pw3ctc0/original-1766530759616.jpg,1024,1024,image/png,103454,f,,2026-03-30 16:26:27.63+00,,,0,Product image,AI-generated product image,
pid-tenant-1774885228681-sid-kucmcjse-q2t5cr,tenant-1774885228681,sid-kucmcjse,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-88vg2mmh/original-1765232803143.jpg,,,,,f,,2026-03-30 16:26:29.703+00,,,0,,,
pid-tid-8622qs2t-sid-x6sk48ag-qm8f66,tid-8622qs2t,sid-x6sk48ag,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-6zmzga7v/original-1765232612974.jpg,,,,,f,,2026-03-26 01:23:41.181+00,,,0,,,
pid-tenant-1774885228681-sid-3u342q0z-hstszc,tenant-1774885228681,sid-3u342q0z,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-mxfzzffk/original-1766112543180.jpg,,,,,f,,2026-03-30 16:26:32.076+00,,,0,,,
pid-tenant-1774885228681-sid-6jpj8160-eaq8wp,tenant-1774885228681,sid-6jpj8160,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-05kwmoez/original-1766436751061.jpg,1024,1024,image/png,106133,f,,2026-03-30 16:26:34.149+00,,,0,Product image,AI-generated product image,
pid-tenant-1774885228681-sid-d9h20ghl-mnwbiw,tenant-1774885228681,sid-d9h20ghl,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-jsc25fau/original-1765116034671.jpg,,,,,f,,2026-03-30 16:26:36.526+00,,,0,,,
pid-tenant-1774885228681-sid-xp2wh5ps-j6i2ej,tenant-1774885228681,sid-xp2wh5ps,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-w9145o12/original-1765232783760.jpg,,,,,f,,2026-03-30 16:26:38.906+00,,,0,,,
pid-tid-mrsyk3w6-sid-3wfim7mf-uwfzw0,tid-mrsyk3w6,sid-3wfim7mf,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-wuxyaovy/original-1766112580310.jpg,,,,,f,,2026-03-26 01:23:42.929+00,,,0,,,
pid-tid-veid875z-sid-k3x39foa-wlp27x,tid-veid875z,sid-k3x39foa,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-wuxyaovy/original-1766112580310.jpg,,,,,f,,2026-03-26 01:23:45.019+00,,,0,,,
pid-tid-a3813d7i-sid-rc3my10k-496dht,tid-a3813d7i,sid-rc3my10k,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-wuxyaovy/original-1766112580310.jpg,,,,,f,,2026-03-26 01:23:47.734+00,,,0,,,
