id,tenant_id,session_id,barcode,sku,raw_payload,status,enrichment,validation,duplicate_of,error,created_at,updated_at
sid-undefined-d93am5sv,tid-042hi7ju,sid-undefined-q7tfxaww,078742035512,078742035512,"{""barcode"": ""078742035512"", ""timestamp"": ""2026-01-08T01:10:52.489Z""}",new,"{""name"": ""Instant Oatmeal Fruit amp; Cream Flavor Variety Pack"", ""brand"": ""Great Value"", ""source"": ""upc_database"", ""metadata"": {""upc"": ""078742035512"", ""images"": [], ""pricing"": {""msrp"": null}, ""manufacturer"": null, ""specifications"": {}}, ""description"": ""Instant Oatmeal Fruit amp; Cream Flavor Variety Pack"", ""categoryPath"": [""Food""], ""tenantCategoryId"": ""scid-tid-042hi7ju-fu4jv9"", ""categorySuggestion"": {""categoryPath"": [""Food""], ""suggestedName"": ""Food""}}",,,,2026-01-08 01:10:52.491+00,2026-01-08 01:10:52.491+00
sid-R4KG-keudyf98,tid-042hi7ju,sid-R4KG-ab05g38z,030772094037,030772094037,"{""barcode"": ""030772094037"", ""timestamp"": ""2026-05-03T15:09:47.431Z""}",new,"{""name"": ""Product 030772094037"", ""brand"": ""Proctor & Gamble"", ""source"": ""fallback"", ""metadata"": {""note"": ""Please update product information manually"", ""barcode"": ""030772094037""}, ""description"": ""Dawn Ultra Dishwashing Liquid 18 FL OZ"", ""categoryPath"": [], ""tenantCategoryId"": ""cat-R4KG-i85zmj""}",,,,2026-05-03 15:09:47.432+00,2026-05-03 15:09:47.432+00
sid-R4KG-290be7d5,tid-042hi7ju,sid-R4KG-xw89tlwl,068274735295,pid-R4KG-azvo6dcc,"{""sku"": ""pid-R4KG-azvo6dcc"", ""barcode"": ""068274735295"", ""timestamp"": ""2026-05-03T16:17:00.188Z""}",new,"{""name"": ""Purified water"", ""brand"": ""Nestlé"", ""source"": ""upc_database"", ""metadata"": {""upc"": ""068274735295"", ""images"": [], ""pricing"": {""msrp"": null}, ""manufacturer"": null, ""specifications"": {}}, ""description"": ""Purified water"", ""categoryPath"": [""Food""], ""categorySuggestion"": {""categoryPath"": [""Food""], ""suggestedName"": ""Food"", ""existingTenantCategory"": {""id"": ""scid-tid-042hi7ju-twr9qf"", ""name"": ""Meat & Seafood"", ""googleCategoryId"": ""5813""}}}",,,,2026-05-03 16:17:00.221+00,2026-05-03 16:17:00.221+00
sid-ULCW-kj6mj4vl,tid-m8ijkrnk,sid-ULCW-5olqgqsr,030772094037,pid-ULCW-y3ikn2t1,"{""sku"": ""pid-ULCW-y3ikn2t1"", ""barcode"": ""030772094037"", ""timestamp"": ""2026-05-03T21:09:24.650Z""}",new,"{""name"": ""Product 030772094037"", ""brand"": ""Unknown"", ""source"": ""fallback"", ""metadata"": {""note"": ""Please update product information manually"", ""barcode"": ""030772094037""}, ""description"": ""Product information not available"", ""categoryPath"": [], ""tenantCategoryId"": ""itemcat-ULCW-xaxec9""}",,,,2026-05-03 21:09:24.657+00,2026-05-03 21:09:24.657+00
session-GPES-jfwjrgjy,tid-qki0mjdb,session-GPES-72pphmhh,030772094037,pid-GPES-kedgers5,"{""sku"": ""pid-GPES-kedgers5"", ""barcode"": ""030772094037"", ""timestamp"": ""2026-05-04T02:00:00.319Z""}",new,"{""name"": ""Product 030772094037"", ""brand"": ""Unknown"", ""source"": ""fallback"", ""metadata"": {""note"": ""Please update product information manually"", ""barcode"": ""030772094037""}, ""description"": ""Product information not available"", ""categoryPath"": [], ""tenantCategoryId"": ""itemcat-GPES-tgxvp9""}",,,,2026-05-04 02:00:00.321+00,2026-05-04 02:00:00.321+00
session-PZQG-z8fhtpgp,tid-jcvzufq2,session-PZQG-34fkoyrg,068274735295,pid-PZQG-3435unyp,"{""sku"": ""pid-PZQG-3435unyp"", ""barcode"": ""068274735295"", ""timestamp"": ""2026-05-05T18:49:32.346Z""}",new,"{""name"": ""Purified water"", ""brand"": ""Nestlé"", ""source"": ""upc_database"", ""metadata"": {""upc"": ""068274735295"", ""images"": [], ""pricing"": {""msrp"": null}, ""manufacturer"": null, ""specifications"": {}}, ""description"": ""Purified water"", ""categoryPath"": [""Food""], ""tenantCategoryId"": ""itemcat-PZQG-rpa9fk"", ""categorySuggestion"": {""categoryPath"": [""Food""], ""suggestedName"": ""Food"", ""existingTenantCategory"": {""id"": ""scid-tid-jcvzufq2-htia6p"", ""name"": ""Meat & Seafood"", ""googleCategoryId"": ""5813""}}}",,,,2026-05-05 18:49:32.348+00,2026-05-05 18:49:32.348+00
