id,label,href,icon,badge,badge_variant,targets,sort_order,is_enabled,is_divider_before,required_permission,required_group,required_role,created_at,updated_at,created_by,metadata
custom-1776195232549,All Users,/settings/admin/users,"","",default,{admin},23,t,f,"","","",2026-04-14 19:35:12.87+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776195164826"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776195303792,Deletion Requests,/settings/admin/deletion-requests,"","",default,{admin},24,t,f,"","","",2026-04-14 19:35:12.991+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776195164826"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776195701118,All Tenants,/settings/admin/tenants,building,"",default,{admin},25,t,f,"","","",2026-04-14 20:21:11.156+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776236817068"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776195744509,Organizations,/settings/admin/organizations,building,"",default,{admin},26,t,f,CAN_SUPPORT_PLATFORM,"","",2026-04-14 20:21:11.281+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776236817068"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776288440862,Directory Featured,/t/${tenantId}/settings/products/featuring,"","",default,{tenant},70,t,t,CAN_MANAGE_TENANT_INVENTORY,"","",2026-04-15 21:30:22.651+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1777368780403"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776728709882,Platform Revenue,/settings/admin/platform-revenue,"","",default,{admin},110,t,t,CAN_ADMIN_PLATFORM,IS_PLATFORM_ADMIN,PLATFORM_ADMIN,2026-04-20 23:45:27.373+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776198129531"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776242834569,My Dashboard,/t/${tenantId}/dashboard,home,"",default,{tenant},4,t,t,"",IS_TENANT_USER,"",2026-04-15 08:49:35.697+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776198129531,Subscriptions,/settings/admin/tier-system,shield,"",default,{admin},12,t,f,"",IS_PLATFORM_ADMIN,"",2026-04-14 20:27:09.186+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776195947115,Overview,/settings/admin/capacity/overview,"","",default,{admin},28,t,f,"","","",2026-04-14 20:21:11.656+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776195918418"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776196015727,Location Limits,/settings/admin/capacity/location-limits,"","",default,{admin},29,t,f,"","","",2026-04-14 20:21:11.78+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776195918418"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776196066141,Alerts,/settings/admin/capacity/alerts,"","",default,{admin},30,t,f,"","","",2026-04-14 20:21:11.905+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776195918418"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776196158480,Quick Start Center,"",bell,"",default,{admin},31,t,t,CAN_SUPPORT_PLATFORM,"","",2026-04-14 20:21:12.03+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776196192955,Quick Start > Seed Categories,/settings/admin/quick-start/categories,"","",default,{admin},32,t,f,"","","",2026-04-14 20:21:12.155+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776196158480"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776198058304,Quick Start > Seed Products,/settings/admin/quick-start/products,"","",default,{admin},33,t,f,"","","",2026-04-14 20:21:12.279+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776196158480"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
