id,tenant_id,mode,status,access_token,refresh_token,token_expires_at,merchant_id,demo_enabled_at,demo_last_active_at,production_enabled_at,last_sync_at,last_sync_status,created_at,updated_at
1472e484-1bde-4f30-ae33-3967e060e8bd,t-pa3b34s4,demo,active,,,,,2025-12-11 16:35:54.137,2025-12-11 16:35:54.137,,,,2025-12-11 16:35:54.138,2025-12-11 16:35:54.137
427fb1b7-040d-4410-aa90-1739d4960d80,tid-yrkd470n,demo,active,,,,,2025-12-12 13:18:06.343,2025-12-12 13:18:06.343,,,,2025-12-12 13:18:06.344,2025-12-12 13:18:06.343
cigid-jkzyzzl1,t-m11e6ur7,demo,active,,,,,2025-12-14 12:04:01.46,2025-12-14 12:04:01.46,,,,2025-12-14 12:04:01.461,2025-12-14 12:04:01.46
cigid-vv38ih2g,t-v84j50g0,demo,active,,,,,2025-12-14 12:09:58.178,2025-12-14 12:09:58.178,,,,2025-12-14 12:09:58.18,2025-12-14 12:09:58.178
cigid-1fthi5bv,t-ucgs9idl,demo,active,,,,,2025-12-16 20:29:46.517,2025-12-16 20:29:46.517,,,,2025-12-16 20:29:46.519,2025-12-16 20:29:46.517
cigid-yn3e1p8i,tid-mrsyk3w6,demo,active,,,,,2026-01-10 15:38:05.495,2026-01-10 15:38:05.495,,,,2026-01-10 15:38:05.497,2026-01-10 15:38:05.495
cigid-zxjuqkw1,tid-r6cccpag,demo,active,,,,,2026-03-30 03:18:30.666,2026-03-30 03:18:30.666,,,,2026-03-30 03:18:30.668,2026-03-30 03:18:30.666
