id,route_type,max_requests,window_minutes,enabled,created_at,updated_at
2a883f14-75dc-47aa-a37f-59c60ee3825b,admin,50,1,f,2026-01-17 14:25:59.948246+00,2026-02-18 01:16:33.42+00
246cc54f-3bc2-4aac-9e5e-bced2adba94c,api,1000,1,f,2026-02-11 20:02:44.841+00,2026-02-18 01:16:33.75+00
67874d42-3e8f-4257-9188-43834fd6bf21,auth,10,1,f,2026-01-17 14:25:59.948246+00,2026-02-18 01:16:34.066+00
9d986a0a-e5dd-41f9-b592-160b7f194138,exempt,1000,1,f,2026-01-17 14:25:59.948246+00,2026-02-18 01:16:34.384+00
300d77f4-b0bf-4c53-8405-8ddd051045eb,search,100,1,f,2026-02-11 20:02:45.209+00,2026-02-18 01:16:34.708+00
144c4a5f-fdb0-4cbc-aff9-58fdea0ded08,standard,100,1,f,2026-01-17 14:25:59.948246+00,2026-02-18 01:16:35.046+00
00a94fad-ddf6-485d-8fd1-0388ab410116,strict,10,1,f,2026-01-17 14:25:59.948246+00,2026-02-18 01:16:35.406+00
d2271180-33d0-45e5-bf85-6cf0f32f811e,upload,20,1,f,2026-02-11 20:02:45.386+00,2026-02-18 01:16:35.727+00
