id,tenant_id,stripe_account_id,stripe_account_type,onboarding_status,onboarding_started_at,onboarding_completed_at,onboarding_expires_at,onboarding_link,onboarding_error,stripe_account_status,stripe_payouts_enabled,stripe_payments_enabled,stripe_requirements,platform_fee_override_percent,total_payout_cents,last_payout_at,created_at,updated_at,metadata
msc_1776970067144_j61lnguai,tid-fjwr30ib,acct_1TPSHwHn88N2SK9k,express,completed,2026-04-23 18:47:50.536+00,2026-04-23 20:28:26.285+00,2026-04-24 18:47:51.058+00,https://connect.stripe.com/setup/e/acct_1TPSHwHn88N2SK9k/hZzsC1xrjwMm,,enabled,t,t,[],,0,,2026-04-23 18:47:47.149+00,2026-04-23 20:28:26.562676+00,{}
msc_1777117145430_7pst5snwr,tid-zcp9a56y,acct_1TQ4YCH7Me0PkrfF,express,completed,2026-04-25 11:39:08.261+00,2026-04-25 11:44:40.38+00,2026-04-26 11:39:08.77+00,https://connect.stripe.com/setup/e/acct_1TQ4YCH7Me0PkrfF/kalwQz1njkll,,enabled,t,t,[],,0,,2026-04-25 11:39:05.431+00,2026-04-25 11:44:43.453474+00,{}
msc_1777121324102_qwbvvgpgj,tid-jcvzufq2,acct_1TQ5dYHqpILWhUb8,express,in_progress,2026-04-25 12:48:47.419+00,,2026-04-26 12:48:48.14+00,https://connect.stripe.com/setup/e/acct_1TQ5dYHqpILWhUb8/WQS0CypuV2sf,,restricted,f,f,"[""external_account"", ""tos_acceptance.date"", ""tos_acceptance.ip""]",,0,,2026-04-25 12:48:44.103+00,2026-04-25 12:49:21.243759+00,{}
msc_1777394477622_mso7apqug,tid-r6cccpag,acct_1TREhGQnKkcjgYFr,express,completed,2026-04-28 16:41:20.77+00,2026-04-29 01:04:20.115+00,2026-04-29 16:41:21.334+00,https://connect.stripe.com/setup/e/acct_1TREhGQnKkcjgYFr/DfwyUtw84Esw,,enabled,t,t,[],,0,,2026-04-28 16:41:17.626+00,2026-04-29 01:04:21.228272+00,{}
msc_1777660030222_abi6z4inw,tid-042hi7ju,acct_1TSLmMHl0PjQS97k,express,completed,2026-05-01 18:27:13.817+00,2026-05-01 18:44:57.159+00,2026-05-02 18:27:14.563+00,https://connect.stripe.com/setup/e/acct_1TSLmMHl0PjQS97k/SCH2AxnZbp3h,,enabled,t,t,[],,0,,2026-05-01 18:27:10.223+00,2026-05-01 18:44:57.188846+00,{}
